subclass,modality,sexrep,ncell,nreads,ratio
140 PMd-LHA Foxb1 Glut,H3K27me3,FemaleA,3,15469,5156.3335
070 LSX Prdm12 Slit2 Gaba,H3K4me1,MaleB,3,12713,4237.6665
042 OB-out Frmd7 Gaba,H3K27ac,MaleA,3,9265,3088.3333
105 TMd-DMH Foxd2 Gaba,H3K9me3,MaleB,3,12958,4319.3335
091 ARH-PVi Six6 Dopa-Gaba,H3K9me3,FemaleA,3,7055,2351.6667
138 PH Pitx2 Glut,H3K9me3,FemaleA,3,8250,2750.0
143 MM-ant Foxb1 Glut,H3K27ac,FemaleA,3,12608,4202.6665
091 ARH-PVi Six6 Dopa-Gaba,H3K27me3,FemaleA,4,12298,3074.5
143 MM-ant Foxb1 Glut,H3K9me3,MaleB,4,22914,5728.5
070 LSX Prdm12 Slit2 Gaba,H3K9me3,FemaleA,4,20519,5129.75
042 OB-out Frmd7 Gaba,H3K4me1,FemaleB,4,8644,2161.0
042 OB-out Frmd7 Gaba,H3K9me3,FemaleA,4,8576,2144.0
105 TMd-DMH Foxd2 Gaba,H3K4me1,FemaleB,4,15902,3975.5
065 IA Mgp Gaba,H3K27ac,FemaleB,4,19044,4761.0
044 OB Dopa-Gaba,H3K9me3,MaleA,4,10112,2528.0
070 LSX Prdm12 Slit2 Gaba,H3K9me3,MaleB,4,10851,2712.75
105 TMd-DMH Foxd2 Gaba,H3K4me1,FemaleA,4,5677,1419.25
042 OB-out Frmd7 Gaba,H3K4me1,MaleA,4,20729,5182.25
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27ac,FemaleB,4,7323,1830.75
091 ARH-PVi Six6 Dopa-Gaba,H3K27ac,FemaleA,4,20565,5141.25
191 PAG-MRN Rln3 Gaba,H3K27me3,FemaleA,4,19213,4803.25
140 PMd-LHA Foxb1 Glut,H3K27me3,FemaleB,4,5146,1286.5
149 PVT-PT Ntrk1 Glut,H3K9me3,MaleA,4,39799,9949.75
042 OB-out Frmd7 Gaba,H3K9me3,MaleB,4,11974,2993.5
042 OB-out Frmd7 Gaba,H3K27ac,FemaleB,4,14977,3744.25
092 TMv-PMv Tbx3 Hist-Gaba,H3K4me1,MaleA,5,25397,5079.4
041 OB-in Frmd7 Gaba,H3K27ac,FemaleB,5,9605,1921.0
092 TMv-PMv Tbx3 Hist-Gaba,H3K27ac,MaleB,5,11442,2288.4
140 PMd-LHA Foxb1 Glut,H3K27ac,MaleA,5,17529,3505.8
105 TMd-DMH Foxd2 Gaba,H3K27ac,FemaleA,5,22747,4549.4
065 IA Mgp Gaba,H3K4me1,MaleA,5,33138,6627.6
042 OB-out Frmd7 Gaba,H3K27ac,MaleB,5,7472,1494.4
149 PVT-PT Ntrk1 Glut,H3K27ac,FemaleB,5,12662,2532.4
140 PMd-LHA Foxb1 Glut,H3K9me3,MaleB,5,38156,7631.2
044 OB Dopa-Gaba,H3K27me3,FemaleA,5,12730,2546.0
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27ac,FemaleB,5,16751,3350.2
138 PH Pitx2 Glut,H3K27me3,FemaleB,5,7492,1498.4
191 PAG-MRN Rln3 Gaba,H3K27ac,MaleB,5,18298,3659.6
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27ac,FemaleB,5,12676,2535.2
105 TMd-DMH Foxd2 Gaba,H3K4me1,MaleB,5,13374,2674.8
140 PMd-LHA Foxb1 Glut,H3K27me3,MaleA,6,24597,4099.5
091 ARH-PVi Six6 Dopa-Gaba,H3K9me3,FemaleB,6,19758,3293.0
138 PH Pitx2 Glut,H3K9me3,FemaleB,6,24105,4017.5
138 PH Pitx2 Glut,H3K27me3,MaleB,6,39552,6592.0
105 TMd-DMH Foxd2 Gaba,H3K4me1,MaleA,6,25298,4216.3335
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K4me1,FemaleB,6,23714,3952.3333
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27ac,MaleB,6,19705,3284.1667
044 OB Dopa-Gaba,H3K27me3,MaleB,6,10789,1798.1666
088 BST Tac2 Gaba,H3K27ac,FemaleB,6,24748,4124.6665
092 TMv-PMv Tbx3 Hist-Gaba,H3K27ac,FemaleB,6,17449,2908.1667
109 LGv-ZI Otx2 Gaba,H3K27ac,MaleB,6,14839,2473.1667
044 OB Dopa-Gaba,H3K27ac,MaleB,6,10923,1820.5
042 OB-out Frmd7 Gaba,H3K27me3,FemaleB,6,28154,4692.3335
138 PH Pitx2 Glut,H3K27me3,MaleA,6,24572,4095.3333
105 TMd-DMH Foxd2 Gaba,H3K27ac,MaleA,6,8888,1481.3334
088 BST Tac2 Gaba,H3K9me3,MaleA,6,48676,8112.6665
138 PH Pitx2 Glut,H3K4me1,FemaleB,7,41997,5999.5713
138 PH Pitx2 Glut,H3K27me3,FemaleA,7,29489,4212.7144
042 OB-out Frmd7 Gaba,H3K27me3,MaleB,7,55199,7885.5713
091 ARH-PVi Six6 Dopa-Gaba,H3K27me3,FemaleB,7,12500,1785.7142
138 PH Pitx2 Glut,H3K4me1,FemaleA,7,18928,2704.0
137 PH-an Pitx2 Glut,H3K9me3,MaleA,7,71809,10258.429
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27ac,FemaleB,7,30282,4326.0
191 PAG-MRN Rln3 Gaba,H3K27ac,MaleA,7,27948,3992.5715
268 CS-PRNr-DR En1 Sox2 Gaba,H3K27me3,FemaleB,7,37266,5323.7144
092 TMv-PMv Tbx3 Hist-Gaba,H3K27ac,FemaleA,7,30280,4325.7144
044 OB Dopa-Gaba,H3K27ac,FemaleA,7,7740,1105.7142
137 PH-an Pitx2 Glut,H3K4me1,FemaleB,7,28706,4100.857
137 PH-an Pitx2 Glut,H3K27ac,MaleB,7,17813,2544.7144
121 MEA-BST Otp Zic2 Glut,H3K4me1,MaleA,7,49599,7085.5713
092 TMv-PMv Tbx3 Hist-Gaba,H3K9me3,MaleA,7,55799,7971.2856
138 PH Pitx2 Glut,H3K4me1,MaleA,7,29893,4270.4287
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27me3,FemaleB,7,44544,6363.4287
042 OB-out Frmd7 Gaba,H3K4me1,FemaleA,7,43278,6182.5713
027 L6b EPd Glut,H3K9me3,FemaleB,7,33679,4811.2856
138 PH Pitx2 Glut,H3K27ac,MaleA,8,16712,2089.0
140 PMd-LHA Foxb1 Glut,H3K4me1,FemaleA,8,16997,2124.625
137 PH-an Pitx2 Glut,H3K27ac,FemaleB,8,12676,1584.5
109 LGv-ZI Otx2 Gaba,H3K27ac,FemaleA,8,58542,7317.75
191 PAG-MRN Rln3 Gaba,H3K9me3,MaleA,8,51624,6453.0
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27me3,FemaleB,8,91520,11440.0
066 NDB-SI-ant Prdm12 Gaba,H3K27ac,FemaleB,8,17988,2248.5
191 PAG-MRN Rln3 Gaba,H3K9me3,FemaleB,8,57183,7147.875
065 IA Mgp Gaba,H3K27ac,MaleB,8,22504,2813.0
137 PH-an Pitx2 Glut,H3K9me3,FemaleA,8,20241,2530.125
191 PAG-MRN Rln3 Gaba,H3K4me1,FemaleB,8,38794,4849.25
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K4me1,MaleA,8,44253,5531.625
027 L6b EPd Glut,H3K27ac,FemaleB,8,41744,5218.0
109 LGv-ZI Otx2 Gaba,H3K4me1,FemaleB,8,41872,5234.0
191 PAG-MRN Rln3 Gaba,H3K9me3,FemaleA,8,18124,2265.5
041 OB-in Frmd7 Gaba,H3K4me1,MaleA,9,43385,4820.5557
191 PAG-MRN Rln3 Gaba,H3K9me3,MaleB,9,35633,3959.2222
042 OB-out Frmd7 Gaba,H3K4me1,MaleB,9,31385,3487.2222
130 LHA Pmch Glut,H3K27ac,FemaleB,9,21366,2374.0
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27me3,FemaleB,9,28214,3134.889
091 ARH-PVi Six6 Dopa-Gaba,H3K27ac,MaleB,9,21472,2385.7778
091 ARH-PVi Six6 Dopa-Gaba,H3K4me1,FemaleA,9,18044,2004.8889
140 PMd-LHA Foxb1 Glut,H3K4me1,MaleB,9,31369,3485.4443
042 OB-out Frmd7 Gaba,H3K27me3,MaleA,9,52427,5825.222
109 LGv-ZI Otx2 Gaba,H3K27me3,FemaleB,9,12451,1383.4445
137 PH-an Pitx2 Glut,H3K27me3,FemaleB,9,15549,1727.6666
213 SCsg Gabrr2 Gaba,H3K27me3,FemaleB,9,77234,8581.556
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27ac,MaleB,9,24288,2698.6667
001 CLA-EPd-CTX Car3 Glut,H3K27ac,FemaleB,9,20787,2309.6667
091 ARH-PVi Six6 Dopa-Gaba,H3K4me1,FemaleB,10,46392,4639.2
041 OB-in Frmd7 Gaba,H3K27ac,MaleB,10,16602,1660.2
044 OB Dopa-Gaba,H3K4me1,FemaleA,10,14357,1435.7
121 MEA-BST Otp Zic2 Glut,H3K27ac,MaleB,10,20577,2057.7
141 PH-SUM Foxa1 Glut,H3K9me3,FemaleA,10,26559,2655.9
077 CEA-BST Gal Avp Gaba,H3K27ac,FemaleB,10,49617,4961.7
191 PAG-MRN Rln3 Gaba,H3K27ac,FemaleA,10,26774,2677.4
029 L6b CTX Glut,H3K27ac,FemaleB,10,87676,8767.6
039 OB Meis2 Thsd7b Gaba,H3K27ac,FemaleB,10,40569,4056.9
149 PVT-PT Ntrk1 Glut,H3K27me3,FemaleB,10,18690,1869.0
092 TMv-PMv Tbx3 Hist-Gaba,H3K9me3,FemaleA,10,25281,2528.1
042 OB-out Frmd7 Gaba,H3K27me3,FemaleA,10,29652,2965.2
092 TMv-PMv Tbx3 Hist-Gaba,H3K27me3,FemaleB,10,26875,2687.5
034 NP PPP Glut,H3K27ac,FemaleB,10,28543,2854.3
138 PH Pitx2 Glut,H3K9me3,MaleB,10,61785,6178.5
191 PAG-MRN Rln3 Gaba,H3K27me3,MaleA,11,44232,4021.0908
096 PVHd Gsc Gaba,H3K27ac,FemaleB,11,33688,3062.5454
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,H3K27ac,FemaleB,11,26777,2434.2727
191 PAG-MRN Rln3 Gaba,H3K27me3,MaleB,11,34828,3166.182
041 OB-in Frmd7 Gaba,H3K27ac,FemaleA,11,31284,2844.0
088 BST Tac2 Gaba,H3K27ac,FemaleA,11,63926,5811.4546
109 LGv-ZI Otx2 Gaba,H3K9me3,FemaleA,11,31579,2870.818
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27ac,MaleA,11,33395,3035.9092
109 LGv-ZI Otx2 Gaba,H3K9me3,FemaleB,12,56617,4718.0835
166 MRN Pou3f1 C1ql4 Glut,H3K27ac,FemaleB,12,35794,2982.8333
088 BST Tac2 Gaba,H3K27me3,FemaleB,12,25711,2142.5833
096 PVHd Gsc Gaba,H3K27me3,FemaleB,12,25052,2087.6667
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K4me1,FemaleB,12,50965,4247.0835
137 PH-an Pitx2 Glut,H3K27ac,FemaleA,12,51372,4281.0
191 PAG-MRN Rln3 Gaba,H3K4me1,MaleB,12,60446,5037.1665
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27me3,MaleB,12,72426,6035.5
130 LHA Pmch Glut,H3K9me3,MaleA,12,135149,11262.417
121 MEA-BST Otp Zic2 Glut,H3K27ac,MaleA,12,30452,2537.6667
141 PH-SUM Foxa1 Glut,H3K27ac,FemaleB,13,36690,2822.3076
044 OB Dopa-Gaba,H3K27me3,MaleA,13,24773,1905.6154
213 SCsg Gabrr2 Gaba,H3K9me3,FemaleA,13,44546,3426.6155
121 MEA-BST Otp Zic2 Glut,H3K27ac,FemaleB,13,46923,3609.4614
137 PH-an Pitx2 Glut,H3K9me3,FemaleB,13,51233,3941.0
213 SCsg Gabrr2 Gaba,H3K27ac,FemaleA,13,36721,2824.6924
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27ac,MaleB,13,50849,3911.4614
213 SCsg Gabrr2 Gaba,H3K9me3,FemaleB,14,121487,8677.643
092 TMv-PMv Tbx3 Hist-Gaba,H3K9me3,FemaleB,14,41656,2975.4285
151 TH Prkcd Grin2c Glut,H3K27ac,FemaleB,14,48325,3451.7856
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27ac,FemaleA,14,71832,5130.857
027 L6b EPd Glut,H3K4me1,MaleA,14,133617,9544.071
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K4me1,MaleA,14,111326,7951.857
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K9me3,MaleA,14,116021,8287.214
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27me3,MaleB,14,50660,3618.5715
138 PH Pitx2 Glut,H3K4me1,MaleB,14,58059,4147.0713
091 ARH-PVi Six6 Dopa-Gaba,H3K27me3,MaleB,14,49590,3542.1428
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K9me3,FemaleA,15,49869,3324.6
121 MEA-BST Otp Zic2 Glut,H3K27me3,MaleB,15,113078,7538.533
092 TMv-PMv Tbx3 Hist-Gaba,H3K4me1,FemaleB,15,87929,5861.933
027 L6b EPd Glut,H3K4me1,FemaleB,15,76302,5086.8
141 PH-SUM Foxa1 Glut,H3K9me3,MaleA,15,138623,9241.533
109 LGv-ZI Otx2 Gaba,H3K27me3,MaleB,15,59572,3971.4666
088 BST Tac2 Gaba,H3K27ac,MaleB,15,40814,2720.9333
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27ac,MaleB,15,31512,2100.8
213 SCsg Gabrr2 Gaba,H3K4me1,FemaleA,16,100401,6275.0625
065 IA Mgp Gaba,H3K9me3,FemaleB,16,73204,4575.25
013 COAp Grxcr2 Glut,H3K27ac,MaleB,16,44138,2758.625
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K9me3,FemaleB,16,81011,5063.1875
123 DMH Nkx2-4 Glut,H3K9me3,MaleA,16,88339,5521.1875
124 MPN-MPO-PVpo Hmx2 Glut,H3K9me3,MaleA,16,103376,6461.0
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K4me1,FemaleB,16,75347,4709.1875
020 L2/3 IT RSP Glut,H3K27ac,FemaleB,16,94402,5900.125
109 LGv-ZI Otx2 Gaba,H3K4me1,FemaleA,16,28682,1792.625
149 PVT-PT Ntrk1 Glut,H3K27ac,FemaleA,16,85491,5343.1875
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K9me3,MaleA,16,125315,7832.1875
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K9me3,FemaleA,16,56283,3517.6875
122 LHA-MEA Otp Glut,H3K27ac,MaleB,16,35862,2241.375
027 L6b EPd Glut,H3K27ac,MaleB,16,54618,3413.625
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K27me3,FemaleB,16,81673,5104.5625
096 PVHd Gsc Gaba,H3K27ac,FemaleA,16,83905,5244.0625
109 LGv-ZI Otx2 Gaba,H3K4me1,MaleA,16,62866,3929.125
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K9me3,FemaleB,17,84189,4952.294
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K9me3,FemaleB,17,69554,4091.4119
109 LGv-ZI Otx2 Gaba,H3K4me1,MaleB,17,55397,3258.647
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K27ac,MaleA,17,34844,2049.647
118 ADP-MPO Trp73 Glut,H3K27ac,FemaleB,17,39345,2314.4119
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27me3,FemaleB,17,82354,4844.353
231 IPN-LDT Vsx2 Nkx6-1 Glut,H3K4me1,FemaleB,17,76428,4495.7646
092 TMv-PMv Tbx3 Hist-Gaba,H3K27me3,MaleB,17,96328,5666.353
136 PMv-TMv Pitx2 Glut,H3K27ac,FemaleB,17,65597,3858.647
013 COAp Grxcr2 Glut,H3K9me3,FemaleB,18,92044,5113.5557
013 COAp Grxcr2 Glut,H3K4me1,MaleA,18,144199,8011.0557
121 MEA-BST Otp Zic2 Glut,H3K9me3,FemaleB,18,106433,5912.9443
041 OB-in Frmd7 Gaba,H3K27me3,FemaleB,18,54611,3033.9443
141 PH-SUM Foxa1 Glut,H3K27ac,MaleB,18,53650,2980.5557
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27me3,MaleB,18,90405,5022.5
149 PVT-PT Ntrk1 Glut,H3K9me3,FemaleA,18,59959,3331.0557
096 PVHd Gsc Gaba,H3K9me3,MaleA,18,159672,8870.667
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27ac,FemaleB,18,44392,2466.2222
213 SCsg Gabrr2 Gaba,H3K27ac,MaleB,18,80481,4471.1665
137 PH-an Pitx2 Glut,H3K27me3,MaleB,18,71996,3999.7778
088 BST Tac2 Gaba,H3K4me1,FemaleB,18,87679,4871.0557
137 PH-an Pitx2 Glut,H3K4me1,MaleA,18,65465,3636.9443
013 COAp Grxcr2 Glut,H3K4me1,FemaleB,18,90388,5021.5557
092 TMv-PMv Tbx3 Hist-Gaba,H3K27ac,MaleA,18,40265,2236.9443
122 LHA-MEA Otp Glut,H3K27ac,FemaleB,18,64470,3581.6667
149 PVT-PT Ntrk1 Glut,H3K27me3,FemaleA,19,91154,4797.579
091 ARH-PVi Six6 Dopa-Gaba,H3K4me1,MaleA,19,75576,3977.6843
078 SI-MA-ACB Ebf1 Bnc2 Gaba,H3K27ac,MaleA,19,80615,4242.8945
088 BST Tac2 Gaba,H3K9me3,FemaleA,19,51175,2693.4211
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K4me1,FemaleA,19,56032,2949.0527
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K9me3,FemaleA,19,65651,3455.3157
136 PMv-TMv Pitx2 Glut,H3K9me3,MaleA,19,211127,11111.947
213 SCsg Gabrr2 Gaba,H3K4me1,FemaleB,19,92978,4893.579
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K9me3,FemaleA,19,40590,2136.3157
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27ac,FemaleA,19,41455,2181.842
065 IA Mgp Gaba,H3K4me1,FemaleB,19,111814,5884.9473
166 MRN Pou3f1 C1ql4 Glut,H3K27me3,FemaleB,19,81671,4298.4736
123 DMH Nkx2-4 Glut,H3K27ac,FemaleB,20,28906,1445.3
123 DMH Nkx2-4 Glut,H3K27ac,MaleB,20,36289,1814.45
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27me3,FemaleB,20,143050,7152.5
136 PMv-TMv Pitx2 Glut,H3K27me3,FemaleB,20,43891,2194.55
065 IA Mgp Gaba,H3K27ac,MaleA,20,66658,3332.9
216 MB-MY Tph2 Glut-Sero,H3K27ac,FemaleB,20,52109,2605.45
027 L6b EPd Glut,H3K27ac,MaleA,20,54165,2708.25
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27me3,FemaleA,20,82689,4134.45
027 L6b EPd Glut,H3K27me3,FemaleB,20,155127,7756.35
083 CEA-BST Rai14 Pdyn Crh Gaba,H3K27me3,MaleA,20,120234,6011.7
041 OB-in Frmd7 Gaba,H3K9me3,FemaleB,20,72177,3608.85
268 CS-PRNr-DR En1 Sox2 Gaba,H3K27ac,FemaleA,21,55833,2658.7144
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K27me3,FemaleA,21,85355,4064.524
124 MPN-MPO-PVpo Hmx2 Glut,H3K27ac,FemaleB,21,47718,2272.2856
136 PMv-TMv Pitx2 Glut,H3K9me3,FemaleA,21,61956,2950.2856
059 GPe-SI Sox6 Cyp26b1 Gaba,H3K9me3,MaleA,21,104276,4965.524
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27ac,FemaleA,21,70347,3349.8572
136 PMv-TMv Pitx2 Glut,H3K27ac,MaleB,21,56772,2703.4285
088 BST Tac2 Gaba,H3K4me1,MaleA,21,86505,4119.2856
121 MEA-BST Otp Zic2 Glut,H3K27me3,MaleA,21,99643,4744.905
116 AVPV-MEPO-SFO Tbr1 Glut,H3K27ac,FemaleB,21,70127,3339.3809
031 CT SUB Glut,H3K27ac,FemaleB,22,58168,2644.0
092 TMv-PMv Tbx3 Hist-Gaba,H3K27me3,MaleA,22,119766,5443.909
141 PH-SUM Foxa1 Glut,H3K27ac,FemaleA,22,127358,5789.0
077 CEA-BST Gal Avp Gaba,H3K27ac,MaleB,22,36104,1641.091
092 TMv-PMv Tbx3 Hist-Gaba,H3K27me3,FemaleA,22,108935,4951.591
149 PVT-PT Ntrk1 Glut,H3K27ac,MaleB,22,58890,2676.818
065 IA Mgp Gaba,H3K27me3,MaleB,22,123312,5605.091
128 VMH Fezf1 Glut,H3K27ac,FemaleB,22,65558,2979.9092
130 LHA Pmch Glut,H3K27me3,FemaleB,22,56495,2567.9546
141 PH-SUM Foxa1 Glut,H3K4me1,MaleA,22,103676,4712.5454
125 DMH Hmx2 Glut,H3K27ac,FemaleB,22,51369,2334.9546
213 SCsg Gabrr2 Gaba,H3K27me3,FemaleA,22,82821,3764.5908
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,H3K4me1,FemaleB,22,90092,4095.0908
137 PH-an Pitx2 Glut,H3K27me3,FemaleA,22,89233,4056.0454
141 PH-SUM Foxa1 Glut,H3K27me3,MaleB,23,92250,4010.8696
109 LGv-ZI Otx2 Gaba,H3K27me3,FemaleA,23,89470,3890.0
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,H3K27ac,FemaleB,23,90640,3940.8696
027 L6b EPd Glut,H3K9me3,FemaleA,23,97161,4224.391
136 PMv-TMv Pitx2 Glut,H3K27ac,FemaleA,23,137129,5962.1304
124 MPN-MPO-PVpo Hmx2 Glut,H3K27ac,MaleB,24,50501,2104.2083
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27me3,MaleA,24,136768,5698.6665
213 SCsg Gabrr2 Gaba,H3K4me1,MaleA,24,172071,7169.625
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K4me1,MaleA,24,117911,4912.9585
112 GPi Tbr1 Cngb3 Gaba-Glut,H3K27me3,FemaleB,24,49729,2072.0417
136 PMv-TMv Pitx2 Glut,H3K27me3,MaleB,24,95239,3968.2917
122 LHA-MEA Otp Glut,H3K4me1,MaleA,24,146005,6083.5415
109 LGv-ZI Otx2 Gaba,H3K9me3,MaleB,24,152420,6350.8335
077 CEA-BST Gal Avp Gaba,H3K4me1,FemaleB,24,103813,4325.5415
013 COAp Grxcr2 Glut,H3K4me1,FemaleA,24,113070,4711.25
091 ARH-PVi Six6 Dopa-Gaba,H3K27ac,MaleA,24,42647,1776.9584
084 BST-SI-AAA Six3 Slc22a3 Gaba,H3K27ac,MaleA,24,52301,2179.2083
